Unnamed: 0,ID,Name,Frequency,Distribution
0,sm9-99,Jirachi,20,89
1,sm11-71,Mewtwo & Mew-GX,9,59
2,sm10-57,Dedenne-GX,13,89
3,sm115-9,Charizard-GX,3,59
4,smp-SM104,Solgaleo-GX,3,59
5,sm9-97,Incineroar-GX,3,59
6,sm11-160,Naganadel-GX,3,59
7,sm11-72,Espeon & Deoxys-GX,1,20
8,sm11-79,Jirachi-GX,1,20
9,sm10-25,Volcanion,5,28
10,swsh2-19,Eldegoss V,2,33
11,swsh3-104,Crobat V,3,59
12,swsh1-117,Galarian Zigzagoon,1,20
13,sm8-44,Magcargo-GX,2,39
14,sm5-116,Silvally-GX,2,39
15,sm8-98,Sigilyph-GX,1,21
16,swsh1-25,Victini V,4,59
17,sm8-97,Giratina,1,21
18,sm10-32,Blacephalon,2,13
19,sm8-52,Blacephalon-GX,1,13
20,sm12-95,Oricorio-GX,1,13
