Unnamed: 0,ID,Name,Frequency,Distribution
0,sm10-112,Spiritomb,8,37
1,sm9-99,Jirachi,23,123
2,sm11-76,Jynx,4,37
3,sm6-77,Buzzwole,2,37
4,swsh1-117,Galarian Zigzagoon,8,102
5,sm10-75,Mewtwo,3,48
6,sm10-76,Mew,5,86
7,sm10-57,Dedenne-GX,6,102
8,sm12-95,Oricorio-GX,2,37
9,sm6-79,Yveltal-GX,2,37
10,sm11-46,Cryogonal,1,19
11,swsh2-92,Dragapult V,14,65
12,swsh2-93,Dragapult VMAX,13,65
13,swsh1-148,Oranguru,1,15
14,sm8-97,Giratina,1,15
15,sm6-50,Inkay,1,19
16,sm6-51,Malamar,1,19
17,sm8-118,Alolan Meowth,1,19
18,sm12-57,Phione,1,19
