Unnamed: 0,ID,Name,Frequency,Distribution
0,sm9-99,Jirachi,29,129
1,swsh2-92,Dragapult V,7,36
2,swsh2-93,Dragapult VMAX,6,36
3,sm9-53,Gengar & Mimikyu-GX,1,17
4,sm10-57,Dedenne-GX,10,103
5,swsh1-117,Galarian Zigzagoon,2,36
6,sm8-97,Giratina,1,17
7,sm10-76,Mew,4,64
8,sm10-75,Mewtwo,1,17
9,sm6-50,Inkay,1,19
10,sm6-51,Malamar,1,19
11,sm11-86,Giratina,1,19
12,sm8-118,Alolan Meowth,1,19
13,sm10-112,Spiritomb,8,31
14,sm11-76,Jynx,5,31
15,sm6-77,Buzzwole,1,16
16,sm8-106,Nihilego,1,16
17,sm8-52,Blacephalon-GX,2,30
