Unnamed: 0,ID,Name,Frequency,Distribution
0,swsh1-138,Zacian V,70,335
1,sm9-99,Jirachi,40,194
2,det1-11,Mr.Mime,4,55
3,sm7-97,Jirachi,3,55
4,swsh1-139,Zamazenta V,10,75
5,smp-SM107,Dusk Mane Necrozma,2,27
6,sm10-57,Dedenne-GX,29,237
7,sm12-156,Arceus Dialga Palkia-GX,24,150
8,swsh2-19,Eldegoss V,5,61
9,sm10-120,Lucario & Melmetal-GX,3,24
10,smp-SM244,Aipom,1,12
11,sm10-76,Mew,11,184
12,sm11-140,Hoopa,2,34
13,swsh1-117,Galarian Zigzagoon,6,76
14,swsh2-92,Dragapult V,3,15
15,swsh2-93,Dragapult VMAX,3,15
16,sm11-86,Giratina,1,15
17,sm10-75,Mewtwo,2,32
18,sm10-32,Blacephalon,3,17
19,sm8-52,Blacephalon-GX,1,17
20,swsh1-155,Cramorant V,1,17
21,sm12-95,Oricorio-GX,2,33
22,sm11-53,Tapu fini,4,56
23,swsh3-104,Crobat V,5,61
24,sm11-141,Mawile-GX,6,77
25,swsh2-138,Duraludon,2,25
26,sm12-17,Rowlet,3,16
27,swsh3-12,Dartrix,1,16
28,swsh3-13,Decidueye,3,16
29,swsh1-119,Galarian Obstagoon,2,16
