,ID,Name,Frequency,Distribution
0,swsh1-145,Minccino,4,22
1,swsh1-147,Cinccino,4,22
2,swsh1-138,Zacian V,3,22
3,sm5-114,Oranguru,2,22
4,sm8-154,Ditto â—‡,2,43
5,sm10-112,Spiritomb,1,22
6,sm8-44,Magcargo-GX,1,22
7,sm12-69,Magneton,1,22
8,sm10-76,Mew,1,22
9,sm11-71,Mewtwo & Mew-GX,5,63
10,sm8-93,Wobbuffet,1,22
11,sm6-50,Inkay,6,41
12,sm6-51,Malamar,6,41
13,sm10-57,Dedenne-GX,6,41
14,smp-SM217,Trevenant & Dusknoir-GX,4,41
15,sm11-160,Naganadel-GX,2,41
16,sm6-56,Naganadel-GX,2,41
17,sm6-95,Ultra Necrozma-GX,1,21
18,sm12-104,Blacephalon,2,41
19,sm9-53,Gengar & Mimikyu-GX,2,41
20,sm8-97,Giratina,1,21
21,sm12-75,Solgaleo & Lunala-GX,1,20
22,sm9-88,Absol,1,20
