Unnamed: 0,ID,Name,Frequency,Distribution
0,sm9-99,Jirachi,12,59
1,sm10-57,Dedenne-GX,17,136
2,sm115-9,Charizard-GX,3,59
3,sm10-20,Reshiram & Charizard-GX,3,59
4,smp-SM104,Solgaleo-GX,3,59
5,sm9-97,Incineroar-GX,3,59
6,sm11-160,Naganadel-GX,7,136
7,sm11-72,Espeon & Deoxys-GX,1,20
8,sm11-79,Jirachi-GX,1,20
9,sm10-25,Volcanion,1,20
10,swsh2-19,Eldegoss V,1,20
11,swsh3-104,Crobat V,4,75
12,swsh1-117,Galarian Zigzagoon,1,20
13,sm7-23,Slugma,17,113
14,sm7-24,Magcargo,16,113
15,sm8-44,Magcargo-GX,16,306
16,sm8-75,Mareep,14,113
17,sm5-114,Oranguru,28,267
18,swsh1-148,Oranguru,12,113
19,swsh1-138,Zacian V,39,267
20,sm8-94,Girafarig,10,188
21,sm10-76,Mew,12,231
22,sm5-116,Silvally-GX,2,39
23,sm8-98,Sigilyph-GX,1,21
24,swsh1-25,Victini V,1,21
25,sm8-97,Giratina,2,42
26,sm6-50,Inkay,11,77
27,sm8-154,Ditto â—‡,11,211
28,sm6-51,Malamar,13,77
29,smp-SM217,Trevenant & Dusknoir-GX,8,77
30,sm9-53,Gengar & Mimikyu-GX,4,77
31,swsh2-153,Dubwool V,1,16
