Unnamed: 0,ID,Name,Frequency,Distribution
0,sm10-112,Spiritomb,8,37
1,sm9-99,Jirachi,51,197
2,sm11-76,Jynx,4,37
3,sm6-77,Buzzwole,2,37
4,swsh1-117,Galarian Zigzagoon,4,54
5,sm11-86,Giratina,2,37
6,sm10-75,Mewtwo,7,107
7,sm10-76,Mew,6,99
8,sm10-57,Dedenne-GX,13,183
9,sm6-79,Yveltal-GX,2,37
10,sm11-46,Cryogonal,1,19
11,sm10-32,Blacephalon,32,146
12,swsh1-155,Cramorant V,8,118
13,sm8-52,Blacephalon-GX,10,146
14,swsh1-138,Zacian V,9,121
15,sm11-53,Tapu Fini,4,62
16,swsh1-148,Oranguru,2,33
17,swsh1-25,Victini V,4,57
18,swsh2-19,Eldegoss V,3,42
