Unnamed: 0,ID,Name,Frequency,Distribution
0,swsh1-138,Zacian V,37,160
1,sm12-156,Arceus & Dialga & Palkia-GX,22,131
2,swsh1-139,Zamazenta V,6,57
3,sm10-57,Dedenne-GX,39,302
4,swsh2-19,Eldegoss V,12,164
5,swsh1-148,Oranguru,5,61
6,swsh2-49,Inteleon V,4,20
7,swsh2-50,Inteleon VMAX,3,20
8,swsh1-63,Snom,3,20
9,swsh1-64,Frosmoth,2,20
10,swsh1-117,Galarian Zigzagoon,27,155
11,swsh1-49,Lapras V,1,20
12,swsh3-37,Suicune,1,20
13,sm11-141,Mawile-GX,7,86
14,swsh2-138,Duraludon,3,37
15,swsh3-33,Centiskorch V,8,33
16,swsh3-34,Centiskorch VMAX,6,33
17,sm10-25,Volcanion,5,53
18,swsh1-25,Victini V,3,50
19,sm11-25,Heatran-GX,2,33
20,swsh3-116,Eternatus V,24,115
21,swsh3-117,Eternatus VMAX,24,115
22,swsh3-111,Hoopa,4,76
23,sm11-140,Hoopa,6,95
24,sm9-99,Jirachi,34,146
25,swsh1-120,Sableye V,1,19
26,sm9-95,Yveltal,1,20
27,sm9-88,Absol,5,74
