Unnamed: 0,ID,Name,Frequency,Distribution
0,sm10-112,Spiritomb,20,82
1,sm11-76,Jynx,11,82
2,sm6-77,Buzzwole,4,67
3,swsh1-117,Galarian Zigzagoon,15,200
4,sm11-86,Giratina,7,123
5,sm10-75,Mewtwo,10,154
6,sm10-76,Mew,15,234
7,sm10-57,Dedenne-GX,73,688
8,sm12-95,Oricorio-GX,13,197
9,sm6-79,Yveltal-GX,2,37
10,sm11-46,Cryogonal,1,19
11,swsh1-138,Zacian V,53,317
12,swsh1-148,Oranguru,16,194
13,det1-11,Mr.Mime,3,30
14,sm7-97,Jirachi,2,30
15,swsh1-139,Zamazenta V,5,30
16,smp-SM107,Dusk Mane Necrozma,2,27
17,sm10-120,Lucario & Melmetal-GX,3,24
18,smp-SM244,Aipom,1,12
19,swsh2-19,Eldegoss V,16,232
20,sm11-140,Hoopa,1,15
21,swsh2-92,Dragapult V,17,82
22,swsh2-93,Dragapult VMAX,16,82
23,sm9-53,Gengar & Mimikyu-GX,1,17
24,sm8-97,Giratina,3,53
25,sm12-57,Phione,9,129
26,sm10-32,Blacephalon,32,146
27,swsh1-155,Cramorant V,8,118
28,sm8-52,Blacephalon-GX,13,195
29,sm11-53,Tapu Fini,7,101
30,swsh1-145,Minccino,10,59
31,swsh1-147,Cinccino,10,59
32,sm5-114,Oranguru,8,86
33,sm7-31,Articuno-GX,4,59
34,sm8-94,Girafarig,3,59
35,sm12-156,Arceus & Dialga & Palkia-GX,20,129
36,swsh3-104,Crobat V,9,146
37,sm12-17,Rowlet,3,16
38,swsh3-12,Dartrix,1,16
39,swsh3-13,Decidueye,3,16
40,swsh1-119,Galarian Obstagoon,2,16
41,swsh1-25,Victini V,6,95
42,sm6-50,Inkay,1,19
43,sm6-51,Malamar,1,19
44,sm8-118,Alolan Meowth,1,19
45,sm8-106,Nihilego,1,16
