Unnamed: 0,ID,Name,Frequency,Distribution
0,sm10-112,Spiritomb,8,37
1,sm9-99,Jirachi,43,200
2,sm11-76,Jynx,4,37
3,sm6-77,Buzzwole,2,37
4,sm11-86,Giratina,6,102
5,sm10-75,Mewtwo,5,82
6,sm10-76,Mew,8,135
7,sm10-57,Dedenne-GX,15,204
8,sm12-95,Oricorio-GX,3,54
9,sm6-79,Yveltal-GX,4,77
10,sm11-46,Cryogonal,1,19
11,swsh1-139,Zacian V,4,15
12,swsh1-148,Oranguru,6,76
13,det1-11,Mr. Mime,1,15
14,sm7-97,Jirachi â™¢,1,15
15,sm11-140,Hoopa,7,110
16,swsh2-92,Dragapult V,17,82
17,swsh2-93,Dragapult VMAX,16,82
18,sm9-53,Gengar & Mimikyu-GX,1,17
19,sm8-97,Giratina,2,32
20,sm12-57,Phione,2,36
21,sm10-32,Blacephalon,3,17
22,sm8-52,Blacephalon-GX,1,17
23,swsh1-155,Cramorant V,1,17
24,swsh1-138,Zacian V,5,30
25,sm11-53,Tapu fini,2,30
26,swsh2-49,Inteleon V,4,20
27,swsh2-50,Inteleon VMAX,3,20
28,swsh1-63,Snom,3,20
29,swsh1-64,Frosmoth,2,20
30,swsh3-104,Crobat V,27,155
31,swsh1-49,Lapras V,1,20
32,swsh3-37,Suicune,1,20
33,swsh3-116,Eternatus V,24,115
34,swsh3-117,Eternatus VMAX,24,115
35,swsh3-111,Hoopa,4,76
36,swsh1-120,Sableye V,1,19
37,sm12-17,Rowlet,3,16
38,swsh3-12,Dartrix,1,16
39,swsh3-13,Decidueye,3,16
40,swsh1-119,Galarian Obstagoon,2,16
41,sm9-95,Yveltal,1,20
42,sm9-88,Absol,4,60
43,sm6-50,Inkay,1,19
44,sm6-51,Malamar,1,19
45,sm8-118,Alolan Meowth,2,39
