Unnamed: 0,ID,Name,Frequency,Distribution
0,swsh1-145,Minccino,35,175
1,swsh1-147,Cinccino,35,175
2,swsh1-138,Zacian V,25,191
3,sm5-114,Oranguru,18,175
4,sm7-120,Skitty,1,21
5,sm7-121,Delcatty,1,21
6,sm9-126,Persian,3,55
7,sm9-99,Jirachi,1,21
8,sm6-91,Goomy,1,21
9,sm8-94,Girafarig,5,96
10,sm11-86,Giratina,1,21
11,sm8-93,Wobbuffet,9,175
12,sm7-56,Mr. Mime-GX,1,21
13,sm7-31,Articuno-GX,1,21
14,sm11-118,Drilbur,2,18
15,sm12-114,Drilbur,2,18
16,sm12-115,Excadrill,4,18
17,sm8-81,Blitzle,3,18
18,sm8-82,Zebstrika,3,18
19,sm10-57,Dedenne-GX,8,75
20,sm6-74,Diancie â—‡,1,18
21,sm11-71,Mewtwo & Mew-GX,15,211
22,sm6-50,Inkay,8,57
23,sm6-51,Malamar,10,57
24,smp-SM217,Trevenant & Dusknoir-GX,6,57
25,sm9-53,Gengar & Mimikyu-GX,3,57
26,sm11-160,Naganadel-GX,3,57
27,swsh2-153,Dubwool V,1,16
28,swsh3-104,Crobat V,1,16
