Unnamed: 0,ID,Name,Frequency,Distribution
0,sm10-32,Blacephalon,32,146
1,sm9-99,Jirachi,51,195
2,swsh1-155,Cramorant V,8,118
3,sm10-57,Dedenne-GX,14,181
4,swsh1-138,Zacian V,7,105
5,sm10-76,Mew,6,92
6,sm12-95,Oricorio-GX,10,146
7,sm11-53,Tapu Fini,4,62
8,sm10-112,Spiritomb,8,30
9,sm11-76,Jynx,4,30
10,sm6-77,Buzzwole,2,30
11,sm10-75,Mewtwo,6,89
12,swsh1-148,Oranguru,1,17
13,swsh1-117,Galarian Zigzagoon,1,17
14,swsh1-25,Victini V,4,57
15,swsh2-19,Eldegoss V,3,47
16,sm8-106,Nihilego,1,16
17,sm12-57,Phione,2,30
