Unnamed: 0,ID,Name,Frequency,Distribution
0,sm10-112,Spiritomb,4,18
1,sm9-99,Jirachi,38,154
2,sm11-76,Jynx,2,18
3,sm6-77,Buzzwole,1,18
4,swsh1-117,Galarian Zigzagoon,5,82
5,sm11-86,Giratina,3,48
6,sm10-76,Mew,6,97
7,sm10-57,Dedenne-GX,10,154
8,sm12-95,Oricorio-GX,7,107
9,sm6-79,Yveltal-GX,1,18
10,swsh2-92,Dragapult V,9,47
11,swsh2-93,Dragapult VMAX,9,47
12,sm9-53,Gengar & Mimikyu-GX,1,17
13,sm8-97,Giratina,2,32
14,sm12-57,Phione,1,17
15,swsh1-148,Oranguru,2,32
16,sm10-32,Blacephalon,19,89
17,sm8-52,Blacephalon-GX,6,89
18,swsh1-155,Cramorant V,5,74
19,swsh1-138,Zacian V,5,76
20,sm11-53,Tapu fini,2,32
