Unnamed: 0,ID,Name,Frequency,Distribution
0,sm10-112,Spiritomb,20,82
1,sm9-99,Jirachi,165,688
2,sm11-76,Jynx,11,82
3,sm6-77,Buzzwole,4,67
4,swsh1-117,Galarian Zigzagoon,15,204
5,sm11-86,Giratina,6,102
6,sm10-75,Mewtwo,10,154
7,sm10-76,Mew,14,223
8,sm12-95,Oricorio-GX,12,183
9,sm6-79,Yveltal-GX,2,37
10,sm11-46,Cryogonal,1,19
11,swsh1-138,Zacian V,70,336
12,swsh1-148,Oranguru,20,237
13,det1-11,Mr.Mime,4,55
14,sm7-97,Jirachi,3,55
15,swsh1-139,Zamazenta V,12,97
16,smp-SM107,Dusk Mane Necrozma,1,15
17,sm9-33,Pikachu & Zekrom-GX,31,213
18,swsh2-67,Boltund V,14,114
19,sm11-54,Raichu & Alolan Raichu-GX,16,196
20,sm8-86,Zeraora-GX,10,132
21,sm9-51,Tapu Koko â™¢,17,227
22,sm10-81,Marshadow,16,217
23,swsh2-19,Eldegoss V,30,402
24,sm12-156,Arceus Dialga Palkia-GX,40,245
25,sm11-140,Hoopa,1,15
26,swsh2-92,Dragapult V,17,82
27,swsh2-93,Dragapult VMAX,16,82
28,sm9-53,Gengar & Mimikyu-GX,5,94
29,sm8-97,Giratina,4,74
30,sm12-57,Phione,7,103
31,sm10-32,Blacephalon,28,132
32,swsh1-155,Cramorant V,7,104
33,sm8-52,Blacephalon-GX,12,181
34,sm11-53,Tapu Fini,6,89
35,swsh3-104,Crobat V,23,302
36,swsh2-49,Inteleon V,4,20
37,swsh2-50,Inteleon VMAX,3,20
38,swsh1-63,Snom,3,20
39,swsh1-64,Frosmoth,2,20
40,swsh1-49,Lapras V,1,20
41,swsh3-37,Suicune,1,20
42,sm11-141,Mawile-GX,10,125
43,swsh2-138,Duraludon,3,37
44,swsh3-33,Centiskorch V,8,33
45,swsh3-34,Centiskorch VMAX,6,33
46,sm10-25,Volcanion,5,53
47,swsh1-25,Victini V,6,95
48,sm11-25,Heatran-GX,3,50
49,sm6-50,Inkay,12,96
50,sm6-51,Malamar,14,96
51,sm8-118,Alolan Meowth,1,19
52,sm8-106,Nihilego,1,16
