Unnamed: 0,ID,Name,Frequency,Distribution
0,swsh1-138,Zacian V,31,106
1,sm9-99,Jirachi,6,30
2,swsh1-148,Oranguru,8,75
3,det1-11,Mr.Mime,3,30
4,sm7-97,Jirachi,2,30
5,smp-SM107,Dusk Mane Necrozma,1,15
6,sm10-57,Dedenne-GX,14,97
7,sm12-156,Arceus Dialga Palkia-GX,12,67
8,swsh2-19,Eldegoss V,4,45
9,sm11-140,Hoopa,1,15
10,swsh1-117,Galarian Zigzagoon,1,15
11,sm10-76,Mew,1,15
12,sm10-120,Lucario & Melmetal-GX,4,24
13,sm9-100,Bronzor,4,24
14,sm9-101,Bronzong,4,24
15,swsh3-104,Crobat V,5,57
16,sm11-141,Mawile-GX,2,24
17,swsh2-138,Duraludon,2,24
