Unnamed: 0,ID,Name,Frequency,Distribution
0,sm9-33,Pikachu & Zekrom-GX,29,200
1,swsh2-67,Boltund V,14,114
2,sm11-54,Raichu & Alolan Raichu-GX,15,183
3,sm10-57,Dedenne-GX,62,402
4,sm8-86,Zeraora-GX,9,119
5,sm9-51,Tapu Koko â™¢,16,214
6,sm10-76,Mew,3,40
7,sm10-81,Marshadow,15,200
8,swsh1-138,Zacian V,32,119
9,sm12-156,Arceus Dialga Palkia-GX,18,107
10,swsh1-139,Zamazenta V,5,45
11,swsh1-148,Oranguru,5,61
12,sm9-99,Jirachi,59,232
13,sm10-120,Lucario & Melmetal-GX,1,12
14,smp-SM107,Dusk Mane Necrozma,1,12
15,smp-SM244,Aipom,1,12
16,swsh3-104,Crobat V,13,164
17,swsh3-33,Centiskorch V,8,33
18,swsh3-34,Centiskorch VMAX,6,33
19,sm10-25,Volcanion,5,53
20,swsh1-25,Victini V,3,42
21,sm11-25,Heatran-GX,2,33
22,sm11-141,Mawile-GX,6,74
23,swsh2-138,Duraludon,2,25
24,sm10-32,Blacephalon,5,28
25,sm8-52,Blacephalon-GX,3,47
26,swsh1-155,Cramorant V,1,15
27,sm12-95,Oricorio-GX,3,42
28,sm11-53,Tapu Fini,1,15
